"","Scenario.Type","Val","SSB_2024","SSB_2024_SD","SSB_2025","SSB_2025_SD","F_2024","F_2025","Rec_2024","Rec_2025","Catch_2024","Catch_2025","pBlim_2024","pBlim_2025"
"1","FMult",0,12003.9,2698.68,18518,2169.37,0,0,9992350,10387100,0,0,0.205,0
"2","FMult",1,11514.2,2578.14,15533.3,1618.16,0.868285,0.868285,9946650,10243800,5621.894,7332.208,0.251,0
"3","FMult",1.2,11418.6,2554.88,15097.1,1547.08,1.04194,1.04194,9937330,10218500,6421.008,8222.66,0.261,0
"4","FMult",1.6,11230,2509.2,14330.8,1428.36,1.38926,1.38926,9918510,10170800,7797.116,9665.843,0.282,0.001
"5","FMult",2,11044.4,2464.6,13676,1333.3,1.73657,1.73657,9899450,10126100,8936.573,10772.94,0.304,0.002
"6","FMult",5.93287,9375.67,2078.29,9783.28,917.759,4.98558,4.98523,9698660,9753210,14582.26,15014.33,0.578,0.5
"7","FMult",3.977834,10171,2259.06,11351,1049.35,3.45389,3.45389,9801550,9930650,12591.26,13764.89,0.432,0.068
