year,month,a0,a1,a2,a3
1989,12,0.387097,0.612903,0,0
1990,12,0.80914,0.19086,0,0
1991,12,0.469512,0.432927,0.097561,0
1992,12,0,0.725,0.275,0
1993,12,0.424528,0.559748,0.0157233,0
1994,12,0.370366,0.507387,0.122246,0
1995,12,0.699629,0.300371,0,0
1996,12,0.85214,0.128405,0.0194553,0
1997,12,0.450262,0.47644,0.0732984,0
1998,12,0.586375,0.413625,0,0
1999,12,0.431818,0.443182,0.125,0
2000,12,0.566225,0.42053,0.013245,0
2001,12,0.525886,0.435967,0.0381471,0
2002,12,0.451754,0.453947,0.0942982,0
2003,12,0.724638,0.275362,0,0
2004,12,0.762097,0.221774,0.016129,0
2005,12,0.736,0.252,0.012,0
2006,12,0.5,0.5,0,0
2007,12,0.546618,0.447898,0.00548446,0
2008,12,0.601215,0.338057,0.0607287,0
2009,12,0.211957,0.706522,0.076087,0.00543478
2010,12,0.790323,0.209677,0,0
2011,12,0.801932,0.193237,0.00483092,0
2012,12,0.950904,0.0465116,0.00258398,0
2013,12,0.463636,0.533333,0.0030303,0
2014,12,0.613636,0.346591,0.0397727,0
2015,12,0.842346,0.131072,0.0265811,0
2016,12,0.511006,0.454403,0.0345912,0
2017,12,0.568966,0.393417,0.0376176,0
2018,12,0.411821,0.530029,0.0581506,0
2019,12,0.518482,0.300699,0.180819,0
2020,12,0.488491,0.478261,0.0319693,0.00127877
2021,12,0.528158,0.395738,0.0761035,0
2022,12,0.739011,0.228022,0.032967,0
